exchange;first_currency;second_currency;exchange_pair_id;time;open;high;low;close;volume;market_cap
BEQUANT;BTC;USDB;2;2024-04-29 00:00:00+00:00;63190.63;64645.51;56592.71;64058.66;2.91568;
BEQUANT;BTC;USDB;2;2024-04-22 00:00:00+00:00;64977.28;67148.56;62597.81;62886.33;1.18621;
BEQUANT;BTC;USDB;2;2024-04-15 00:00:00+00:00;65409.77;66720.76;59971.79;64978.88;1.80084;
BEQUANT;BTC;USDB;2;2024-04-08 00:00:00+00:00;69239.52;72637.85;60717.98;65746.64;11.41156;
BEQUANT;BTC;USDB;2;2024-04-01 00:00:00+00:00;70950.29;70955.87;64661.53;69362.51;0.80712;
BEQUANT;BTC;USDB;2;2024-03-25 00:00:00+00:00;66878.31;71496.12;66797.51;71263.2;0.40836;
BEQUANT;BTC;USDB;2;2024-03-18 00:00:00+00:00;67292.29;68670.15;60880.01;66897.8;4.21705;
BEQUANT;BTC;USDB;2;2024-03-11 00:00:00+00:00;68926.32;73606.96;65190.41;68102.69;5.96105;
BEQUANT;BTC;USDB;2;2024-03-04 00:00:00+00:00;63133.98;70030.09;59966.82;68943.05;24.49591;
BEQUANT;BTC;USDB;2;2024-02-26 00:00:00+00:00;51466.94;64000.67;50964.32;62949.52;29.20024;
BEQUANT;BTC;USDB;2;2024-02-19 00:00:00+00:00;52156.61;52961.68;50576.32;51833.12;2.68592;
BEQUANT;BTC;USDB;2;2024-02-12 00:00:00+00:00;48445.96;52820.08;47866.58;52121.33;24.07504;
BEQUANT;BTC;USDB;2;2024-02-05 00:00:00+00:00;42578.51;48316.15;42270.5;48068.12;0.81409;
BEQUANT;BTC;USDB;2;2024-01-29 00:00:00+00:00;41966.42;43682.4;41904.63;42465.87;2.7258;
BEQUANT;BTC;USDB;2;2024-01-22 00:00:00+00:00;41517.66;42540.2;38548.78;41879.31;1.31335;
BEQUANT;BTC;USDB;2;2024-01-15 00:00:00+00:00;41770.95;43521.61;40788.61;41586.46;0.4793;
BEQUANT;BTC;USDB;2;2024-01-08 00:00:00+00:00;43744.15;48964.7;41723.65;41779.26;26.12659;
